Year,Movie,Award,Winner
2005,Star Wars: Episode III - Revenge of the Sith,CDGA-F,N
2005,Capote,CDGA-P,N
2005,"Good Night, and Good Luck.",CDGA-P,N
2005,Rent,CDGA-P,N
2005,Walk the Line,CDGA-P,N
2004,The Aviator,CDGA-FP,N
2004,De-Lovely,CDGA-FP,N
2004,The Phantom of the Opera,CDGA-FP,N
2004,Ray,CDGA-FP,N
2004,Alfie,CDGA-C,N
2004,Eternal Sunshine of the Spotless Mind,CDGA-C,N
2004,Kill Bill: Volume 2,CDGA-C,N
2004,Ocean's Twelve,CDGA-C,N
2000,Charlie's Angels,CDGA-C,N
2000,High Fidelity,CDGA-C,N
2000,Traffic,CDGA-C,N
2000,X-Men,CDGA-C,N
2000,Almost Famous,CDGA-FP,N
2000,Chocolat,CDGA-FP,N
2000,Quills,CDGA-FP,N
2001,Legally Blonde,CDGA-C,N
2001,Mulholland Drive,CDGA-C,N
2001,Ocean's Eleven,CDGA-C,N
2001,Blow,CDGA-FP,N
2001,Hedwig and the Angry Itch,CDGA-FP,N
2001,Planet of the Apes,CDGA-FP,N
2002,About a Boy,CDGA-C,N
2002,Igby Goes Down,CDGA-C,N
2002,Unfaithful,CDGA-C,N
2002,White Oleander,CDGA-C,N
2002,Frida,CDGA-FP,N
2002,Road to Perdition,CDGA-FP,N
2002,The Lord of the Rings: The Two Towers,CDGA-FP,N
2003,Charlie's Angels: Full Throttle,CDGA-C,N
2003,Kill Bill: Volume 1,CDGA-C,N
2003,"Legally Blonde 2: Red, White & Blue",CDGA-C,N
2003,Pirates of the Caribbean: The Curse of the Black Pearl,CDGA-FP,N
2003,Seabiscuit,CDGA-FP,N
2003,The Last Samurai,CDGA-FP,N
2012,Beasts of the Southern Wild,CDGA-C,N
2012,Silver Linings Playbook,CDGA-C,N
2012,The Best Exotic Marigold Hotel,CDGA-C,N
2012,Zero Dark Thirty,CDGA-C,N
2012,Cloud Atlas,CDGA-F,N
2012,Snow White and the Huntsman,CDGA-F,N
2012,The Hobbit: An Unexpected Journey,CDGA-F,N
2012,The Hunger Games,CDGA-F,N
2012,Argo,CDGA-P,N
2012,Les Misérables,CDGA-P,N
2012,Lincoln,CDGA-P,N
2012,Moonrise Kingdom,CDGA-P,N
2000,How the Grinch Stole Christmas,Satellite,Y
2000,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",Satellite,N
2000,Gladiator,Satellite,N
2000,The House of Mirth,Satellite,N
2000,The Patriot,Satellite,N
2001,Moulin Rouge!,Satellite,Y
2001,The Affair of the Necklace,Satellite,N
2001,From Hell,Satellite,N
2001,The Lord of the Rings: The Fellowship of the Ring,Satellite,N
2001,Planet of the Apes,Satellite,N
2002,Frida,Satellite,Y
2002,Austin Powers in Goldmember,Satellite,N
2002,Gangs of New York,Satellite,N
2002,Road to Perdition,Satellite,N
2002,Star Wars: Episode II – Attack of the Clones,Satellite,N
2003,The Last Samurai,Satellite,Y
2003,The Company,Satellite,N
2003,The Lord of the Rings: The Return of the King,Satellite,N
2003,Master and Commander: The Far Side of the World,Satellite,N
2003,Pirates of the Caribbean: The Curse of the Black Pearl,Satellite,N
2003,Seabiscuit,Satellite,N
2004,Vanity Fair,Satellite,Y
2004,The Aviator,Satellite,N
2004,De-Lovely,Satellite,N
2004,The Phantom of the Opera,Satellite,N
2004,House of Flying Daggers (Shi mian mai fu),Satellite,N
2004,Sky Captain and the World of Tomorrow,Satellite,N
2005,Pride & Prejudice,Satellite,Y
2005,Harry Potter and the Goblet of Fire,Satellite,N
2005,Kingdom of Heaven,Satellite,N
2005,Memoirs of a Geisha,Satellite,N
2005,Modigliani,Satellite,N
2005,The White Countess,Satellite,N
2006,The Devil Wears Prada,Satellite,Y
2006,The Black Dahlia,Satellite,N
2006,Curse of the Golden Flower (Man cheng jin dai huang jin jia),Satellite,N
2006,Dreamgirls,Satellite,N
2006,Marie Antoinette,Satellite,N
2007,Elizabeth: The Golden Age,Satellite,Y
2007,Amazing Grace,Satellite,N
2007,Atonement,Satellite,N
2007,Goya's Ghosts,Satellite,N
2007,Hairspray,Satellite,N
2007,La Vie en Rose (La môme),Satellite,N
2008,The Duchess,Satellite,Y
2008,Australia,Satellite,N
2008,Brideshead Revisited,Satellite,N
2008,City of Ember,Satellite,N
2008,The Curious Case of Benjamin Button,Satellite,N
2008,Sex and the City,Satellite,N
2009,The Imaginarium of Doctor Parnassus,Satellite,Y
2009,Chéri,Satellite,N
2009,Nine,Satellite,N
2009,Red Cliff (Chi bi),Satellite,N
2009,The Young Victoria,Satellite,N
2010,Alice in Wonderland,Satellite,Y
2010,Robin Hood,Satellite,N
2010,The King's Speech,Satellite,N
2010,Eat Pray Love,Satellite,N
2010,Black Swan,Satellite,N
2011,Water for Elephants,Satellite,Y
2011,Anonymous,Satellite,N
2011,The Artist,Satellite,N
